site_name,reg_no,permit_date,program_type,county,regional_office,pdf_url
"Amazon Data Services, Inc. IAD-12 IAD-15 IAD-16 IAD-76 IAD-230",73860,,01/30/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25774/638741931683300000
VADATA Inc MEG Four,73868,,04/14/2011,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25776/638628598977470000
Northrop Grumman Systems Corporation,73872,,05/23/2011,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25778/638628599618070000
"Intergate Ashburn, LLC",73935,,12/03/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25781/638693434893870000
"Equinix, LLC - Ashburn",73946,,10/01/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/26024/638634505784000000
George Washington University - VA Campus Bldg II,73950,,09/19/2011,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25787/638628694774900000
VA1 Data Center,73954,,11/11/2011,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25789/638628695431430000
The Aerospace Corporation,73977,,04/09/2012,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25791/638628696383770000
The Aerospace Corporation,73977,,08/19/2013,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25793/638628697085200000
"Amazon Data Services, Inc.  IAD-14 IAD-52 IAD-59",73995,,05/08/2014,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25795/638628698040000000
Freddie Mac Building - 8250 Jones Branch Drive,74020,,01/10/2013,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/26121/638639807493100000
"Amazon Data Services, Inc. IAD 50 IAD 60 IAD-71  IAD-78 IAD-79 IAD-80",74049,,05/08/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25797/638990809948170000
"Captone Mission Ridge, LLC",74051,,08/08/2014,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25799/638628712589800000
"Amazon Data Services, Inc. IAD-55 IAD-64 IAD-84",74052,,04/25/2023,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25801/638628713136870000
U.S. Customs and Border Protection,74060,,07/31/2014,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25803/638628717903300000
"Amazon Data Services, Inc. IAD-51 IAD-56 IAD-88  IAD-89",74063,,05/28/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25805/638628718375500000
"Amazon Data Services, Inc. IAD-57 IAD-58Amazon Data Services, Inc. IAD-57 IAD-58",74064,,02/14/2014,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25807/638628718881430000
"Corporate Office Properties, L.P. - Park Center",74074,,05/18/2022,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25809/638628719619470000
"SI NVA01 ABS, LLC",74079,,08/21/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/31168/638936293164870000
"Amazon Data Services, Inc. IAD-61 IAD-63 IAD-65  IAD-86 IAD-155 IAD-600 IAD-018",74080,,1/21/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25813/638731342312730000
"Amazon Data Services, Inc. IAD-73 IAD-74 IAD-602 IAD-193 IAD-194",74081,,07/08/2024,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25815/638628727334530000
"Amazon Data Services, Inc. IAD-62/68/81/83/93/609/614",74085,,11/21/2022,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25817/638628727920470000
CyrusOne Loudoun Tech Center,74086,,11/01/2016,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25819/638628728324170000
"NTT Global Data Center Americas, Inc. - VA2 Data Center",74094,,01/13/2016,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25821/638628728843130000
Cloud HQ,74107,,07/26/2021,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25823/638628737610070000
CyrusOne Northern Virginia Data Center - Shaw Road,74109,,10/13/2016,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25825/638628738275030000
Iron Mountain Information Management LLC,74112,,10/16/2024,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25827/638651993280700000
CyrusOne Kincora,74114,,09/06/2022,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25829/638628740274670000
"Amazon Data Services, Inc. IAD-75 IAD-85 IAD-95 IAD-96",74115,,10/21/2024,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25831/638652055141070000
